,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
47351,2019-10-08 08:53:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,1,1,1
52110,2019-10-08 09:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.409,1.389,1,1,1
70775,2019-10-08 10:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.339,1.459,1.439,1,1,1
85127,2019-10-08 11:05:11+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.409,1.389,1,1,1
121517,2019-10-08 13:17:03+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.339,1.459,1.439,1,1,1
135688,2019-10-08 14:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.429,1.409,1,1,1
156319,2019-10-08 15:17:09+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.389,1.369,1,1,1
162679,2019-10-08 15:41:07+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.379,1.359,1,1,1
173472,2019-10-08 16:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.419,1.399,1,1,1
187509,2019-10-08 17:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.409,1.389,1,1,1
200089,2019-10-08 17:45:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.399,1.379,0,1,1
228328,2019-10-08 19:53:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.399,1.379,1,0,0
230134,2019-10-08 20:13:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.389,1.369,1,1,1
236137,2019-10-08 20:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.229,1.369,1.349,1,1,1
243073,2019-10-08 22:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.439,1.419,1,1,1
6909,2019-10-09 05:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.359,1.509,1.489,1,1,1
38418,2019-10-09 08:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.449,1.429,1,1,1
52628,2019-10-09 09:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.449,1.429,1,0,0
71317,2019-10-09 10:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.499,1.479,1,1,1
85267,2019-10-09 11:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.449,1.429,1,1,1
93660,2019-10-09 11:29:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.439,1.419,0,1,1
103818,2019-10-09 12:09:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.429,1.409,0,1,1
122786,2019-10-09 13:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.479,1.459,1,1,1
137072,2019-10-09 14:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.419,1.399,1,1,1
157912,2019-10-09 15:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.419,1.399,1,0,0
164212,2019-10-09 15:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.409,1.389,1,1,1
175035,2019-10-09 16:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.449,1.429,1,1,1
189139,2019-10-09 17:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.439,1.419,1,1,1
196526,2019-10-09 17:25:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.419,1.399,1,1,1
223222,2019-10-09 19:13:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.399,1.379,1,1,1
232677,2019-10-09 20:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.389,1.369,1,1,1
236445,2019-10-09 20:37:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.229,1.369,1.349,1,1,1
246516,2019-10-09 22:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.429,1.409,1,1,1
6915,2019-10-10 05:17:03+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.359,1.509,1.489,1,1,1
36358,2019-10-10 08:13:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.429,1.409,1,1,1
59762,2019-10-10 09:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.429,1.409,1,0,0
71351,2019-10-10 10:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.479,1.459,1,1,1
86312,2019-10-10 11:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.439,1.419,1,1,1
93730,2019-10-10 11:25:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.419,1.399,1,1,1
124718,2019-10-10 13:17:03+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.469,1.449,1,1,1
140125,2019-10-10 14:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.439,1.419,1,1,1
151916,2019-10-10 14:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.419,1.399,1,1,1
161515,2019-10-10 15:21:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.409,1.389,0,1,1
177196,2019-10-10 16:17:03+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.449,1.429,1,1,1
193370,2019-10-10 17:09:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.439,1.419,0,1,1
198780,2019-10-10 17:25:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.419,1.399,1,1,1
226040,2019-10-10 19:09:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.399,1.379,0,1,1
238964,2019-10-10 20:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.389,1.369,1,1,1
242727,2019-10-10 20:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.229,1.359,1.339,1,1,1
249591,2019-10-10 22:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.419,1.399,1,1,1
6998,2019-10-11 05:17:06+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.499,1.479,1,1,1
36369,2019-10-11 08:09:07+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.429,1.409,1,1,1
71865,2019-10-11 10:18:16+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.479,1.459,1,1,1
86910,2019-10-11 11:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.439,1.419,1,1,1
93364,2019-10-11 11:22:06+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.419,1.399,1,1,1
122989,2019-10-11 13:17:03+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.469,1.449,1,1,1
139140,2019-10-11 14:06:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.429,1.409,1,1,1
149530,2019-10-11 14:37:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.419,1.399,1,1,1
164223,2019-10-11 15:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.419,1.399,1,0,0
171665,2019-10-11 16:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.389,1.369,1,1,1
175068,2019-10-11 16:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.429,1.409,1,1,1
189196,2019-10-11 17:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.419,1.399,1,1,1
195947,2019-10-11 17:25:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.419,1.399,1,0,0
210113,2019-10-11 18:29:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.419,1.399,1,0,0
213511,2019-10-11 18:49:03+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.239,1.419,1.399,1,0,0
220070,2019-10-11 19:09:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.239,1.399,1.379,0,1,1
234288,2019-10-11 20:37:03+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.229,1.369,1.349,1,1,1
242006,2019-10-11 22:05:07+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.399,1.379,1,1,1
4945,2019-10-12 05:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.499,1.479,1,1,1
28176,2019-10-12 07:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.329,1.469,1.449,1,1,1
40427,2019-10-12 08:37:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.429,1.409,1,1,1
56940,2019-10-12 09:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.429,1.409,1,0,0
65781,2019-10-12 10:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.479,1.459,1,1,1
74284,2019-10-12 10:45:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.429,1.409,1,1,1
91294,2019-10-12 11:28:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.419,1.399,0,1,1
116757,2019-10-12 13:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.469,1.449,1,1,1
127971,2019-10-12 13:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.409,1.389,1,1,1
139933,2019-10-12 14:36:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.409,1.389,1,0,0
143995,2019-10-12 14:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.379,1.359,1,1,1
146647,2019-10-12 15:16:30+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.369,1.349,1,1,1
161966,2019-10-12 16:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.409,1.389,1,1,1
182409,2019-10-12 17:25:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.369,1.349,1,1,1
212833,2019-10-12 20:13:03+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.369,1.349,1,0,0
217699,2019-10-12 21:21:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.229,1.359,1.339,1,1,1
222855,2019-10-12 22:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.399,1.379,1,1,1
5573,2019-10-13 05:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.499,1.479,1,1,1
31257,2019-10-13 08:13:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.429,1.409,1,1,1
45869,2019-10-13 09:13:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.409,1.389,0,1,1
51575,2019-10-13 09:36:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.399,1.379,0,1,1
56072,2019-10-13 09:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.399,1.379,1,0,0
64126,2019-10-13 10:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.449,1.429,1,1,1
78867,2019-10-13 11:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.399,1.379,1,1,1
111340,2019-10-13 13:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.449,1.429,1,1,1
125458,2019-10-13 14:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.439,1.419,1,1,1
