,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
170849,2019-10-08 16:05:10+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.409,1.369,0,0,1
186916,2019-10-08 17:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.369,1,0,0
189714,2019-10-08 17:12:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,1
200357,2019-10-08 17:46:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.359,1.339,1,1,1
215729,2019-10-08 19:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.379,1.339,1,1,0
233657,2019-10-08 20:32:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.359,1.339,1,1,0
239674,2019-10-08 22:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.419,1.399,1,1,1
243197,2019-10-08 22:05:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.419,1.379,0,0,1
1545,2019-10-09 05:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.509,1,1,1
7218,2019-10-09 05:21:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.489,0,0,1
29048,2019-10-09 07:50:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.339,1.459,1.419,1,1,1
34683,2019-10-09 08:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.459,1.419,1,0,0
54628,2019-10-09 09:22:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.449,1.409,1,1,1
59646,2019-10-09 09:40:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.439,1.399,1,1,1
61155,2019-10-09 09:48:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.419,1.379,1,1,1
64321,2019-10-09 10:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.329,1.479,1.439,1,1,1
81746,2019-10-09 10:50:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.459,1.419,1,1,1
93281,2019-10-09 11:28:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.369,1.329,1,1,1
116607,2019-10-09 13:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
136201,2019-10-09 14:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.369,1,1,1
149991,2019-10-09 14:42:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.359,1.319,1,1,1
168603,2019-10-09 16:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.399,1.359,1,1,1
188020,2019-10-09 17:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.399,1.359,1,0,0
191496,2019-10-09 17:11:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.399,1.359,1,0,0
202016,2019-10-09 17:45:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.359,1.319,1,1,1
219046,2019-10-09 19:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.379,1.319,1,1,0
235811,2019-10-09 20:32:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.359,1.319,1,1,0
242661,2019-10-09 22:01:09+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.419,1.379,1,1,1
2222,2019-10-10 05:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.369,1.529,1.509,1,1,1
7205,2019-10-10 05:20:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.369,1.529,1.489,0,0,1
25013,2019-10-10 07:36:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.339,1.459,1.419,1,1,1
31938,2019-10-10 07:57:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.459,1.419,1,0,0
46062,2019-10-10 08:51:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.439,1.399,1,1,1
59341,2019-10-10 09:39:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.439,1.399,1,0,0
64626,2019-10-10 10:00:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.339,1.499,1.459,1,1,1
68229,2019-10-10 10:05:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.329,1.459,1.419,1,1,1
73729,2019-10-10 10:21:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
81985,2019-10-10 10:49:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.369,1,1,1
97989,2019-10-10 11:40:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.369,1.329,1,1,1
118222,2019-10-10 13:00:06+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
138894,2019-10-10 14:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.369,1,1,1
145082,2019-10-10 14:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.369,1,0,0
152969,2019-10-10 14:45:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.359,1.319,1,1,1
170234,2019-10-10 16:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.399,1.359,1,1,1
190177,2019-10-10 17:02:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.399,1.359,1,0,0
193888,2019-10-10 17:11:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.399,1.359,1,0,0
202019,2019-10-10 17:35:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.359,1.319,1,1,1
223370,2019-10-10 19:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.379,1.319,1,1,0
231652,2019-10-10 19:32:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.369,1.319,1,1,0
238808,2019-10-10 20:16:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.229,1.349,1.319,1,1,0
247471,2019-10-10 22:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.409,1.379,1,1,1
