,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
151884,2019-10-02 14:38:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.389,1.369,1,1,1
153320,2019-10-02 14:41:07+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.429,1.409,1,0,0
153987,2019-10-02 14:43:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.399,1.359,1,1,1
159431,2019-10-02 15:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,0,1,1
162521,2019-10-02 15:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.409,1.389,0,1,1
168294,2019-10-02 15:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,1,1,1
173067,2019-10-02 16:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.429,1.409,1,1,1
173717,2019-10-02 16:01:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.439,1.399,1,1,1
179189,2019-10-02 16:17:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.429,1.409,1,1,1
192491,2019-10-02 17:03:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.439,1.399,1,0,0
193004,2019-10-02 17:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.419,1.399,1,1,1
193698,2019-10-02 17:07:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.399,1.379,1,1,1
198688,2019-10-02 17:20:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.419,1.379,1,1,1
203465,2019-10-02 17:36:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.389,1.369,0,1,1
204880,2019-10-02 17:41:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.369,1,1,1
205688,2019-10-02 17:45:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
206391,2019-10-02 17:46:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.399,1.359,0,1,1
207380,2019-10-02 17:51:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
210231,2019-10-02 18:06:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.409,1.389,0,1,1
218068,2019-10-02 18:49:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,1,1,1
219460,2019-10-02 19:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
222071,2019-10-02 19:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.349,1,1,0
224306,2019-10-02 19:09:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.379,1.359,1,1,1
230468,2019-10-02 19:41:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.409,1.389,1,1,1
231109,2019-10-02 19:47:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.399,1.349,1,1,0
234353,2019-10-02 20:21:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.229,1.369,1.349,1,1,1
235828,2019-10-02 20:26:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.379,1.339,1,1,1
240113,2019-10-02 21:17:06+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.379,1.359,1,0,0
242042,2019-10-02 22:00:08+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.439,1.399,1,1,1
243950,2019-10-02 22:00:08+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.429,1.409,1,1,1
245730,2019-10-02 22:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.429,1.409,1,1,1
2493,2019-10-03 05:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.509,1,1,1
3790,2019-10-03 05:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.379,1.529,1.509,1,1,1
6866,2019-10-03 05:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.519,1.499,1,1,1
7109,2019-10-03 05:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.489,0,0,1
22427,2019-10-03 07:34:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.329,1.469,1.429,1,1,1
28594,2019-10-03 07:54:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.339,1.479,1.459,1,1,1
30512,2019-10-03 08:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.449,1.429,1,1,1
31081,2019-10-03 08:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.439,1.399,1,1,1
35014,2019-10-03 08:17:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.459,1.439,1,1,1
44109,2019-10-03 08:56:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.399,1.359,1,1,1
47909,2019-10-03 09:17:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.399,1.379,1,1,1
48722,2019-10-03 09:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,0,1,1
50028,2019-10-03 09:25:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.379,1.359,1,1,1
53199,2019-10-03 09:37:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,1,1,1
58188,2019-10-03 10:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.449,1.409,1,1,1
61038,2019-10-03 10:02:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.439,1.419,1,1,1
65050,2019-10-03 10:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.439,1.419,1,1,1
75404,2019-10-03 10:51:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,1
79803,2019-10-03 11:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,1,1,1
80493,2019-10-03 11:07:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.389,1.369,1,1,1
101210,2019-10-03 12:13:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.379,1.359,1,1,1
110148,2019-10-03 13:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.439,1.419,1,1,1
112777,2019-10-03 13:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.449,1.409,1,1,1
117708,2019-10-03 13:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.439,1.419,1,1,1
